,Poster_Link,Series_Title,Released_Year,Runtime,Genre,Rating,Overview,Director,Star1,Star2
0,https://avatars.mds.yandex.net/get-kinopoisk-image/10812607/19679180-4bac-4b11-9ebe-00b3cb283d97/300x450,Еретик,2024,1 ч 51 мин,"триллер, ужасы",6.7,"Церковная миссия приводит двух молодых мормонок к дверям безобидного, на первый взгляд, мистера Рида. Мужчина приглашает их в дом побеседовать о религии, уверяя, что его супруга печёт пирог и скоро к ним присоединится, но девушки начинают подозревать неладное. Улизнуть втихаря не удаётся, и вскоре выяснится, что вместо пирога их ждут изощрённые издевательства и настоящее испытание веры.",Скотт Бек,Хью Грант,Софи Тэтчер
1,https://avatars.mds.yandex.net/get-kinopoisk-image/10703959/49123e40-fc14-4849-8d0a-aca4ed2bb0bb/300x450,Субстанция,2024,2 ч 21 мин,"ужасы, драма",6.4,"Слава голливудской звезды Элизабет Спаркл осталась в прошлом, хотя она всё ещё ведёт фитнес-шоу на телевидении. Когда её передачу собираются перезапустить с ведущей помоложе, от отчаяния Элизабет решает принять инновационный препарат, создатели которого обещают невероятное преображение, но при соблюдении правила одной недели. Так на свет появляется молодая красотка Сью. Девушка начинает делать карьеру в шоу-бизнесе и вскоре решает, что семи дней ей маловато.",Корали Фаржа,Деми Мур,Маргарет Куолли
2,https://avatars.mds.yandex.net/get-kinopoisk-image/10893610/bcd43d25-600e-4fa3-967b-3564573df1d6/300x450,Веном: Последний танец,2024,1 ч 50 мин,"фантастика, боевик, ужасы",6.5,"Приспособившись к совместному существованию, Эдди и Веном стали друзьями и вместе сражаются со злодеями. Но теперь за Эдди охотятся военные, а за Веномом — его инопланетные сородичи, угрожающие всему живому.",Келли Марсел,Том Харди,Джуно Темпл
3,https://avatars.mds.yandex.net/get-kinopoisk-image/10703959/dce9cf2b-1b69-42b1-abef-b205d8387d2b/300x450,Ручная кладь,2024,1 ч 59 мин,"боевик, триллер, криминал",6.5,"Лос-Анджелес, рождественский день. Сотрудник службы безопасности аэропорта Итан Копек уже предвкушает, как отработает эту сложную смену и вечером вместе с беременной подругой, работающей здесь же, начнёт праздновать Рождество. Решив добиться повышения, он просит начальника дать ему задачу посложнее и поставить на интроскоп. Вскоре с Итаном связывается неизвестный, который настоятельно просит пропустить через интроскоп багаж с запрещённым содержимым, в противном случае его девушка умрёт.",Жауме Кольет-Серра,Тэрон Эджертон,Джейсон Бейтман
4,https://avatars.mds.yandex.net/get-kinopoisk-image/4716873/b88e407d-5665-41d6-9842-a654f95fa37f/300x450,Анора,2024,2 ч 19 мин,"драма, мелодрама, комедия",7.4,"Молодая стриптизерша из Бруклина внезапно выходит замуж за сына русского олигарха. Узнав об этом, родители парня тотчас вылетают из Москвы в Нью-Йорк. Они готовы на всё, лишь бы расстроить брак.",Шон Бэйкер,Майки Мэдисон,Марк Эйдельштейн
5,https://avatars.mds.yandex.net/get-kinopoisk-image/4486454/dbe32117-1d22-4fd3-9157-2383f65693fc/300x450,Крейвен-охотник,2024,2 ч 7 мин,"боевик, триллер",5.5,"Русский иммигрант Сергей Кравинофф должен доказать, что он величайший охотник в мире.",Джей Си Чендор,Аарон Тейлор-Джонсон,Ариана Дебоуз
6,https://avatars.mds.yandex.net/get-kinopoisk-image/10703859/e0f71928-fcf8-46b7-a645-b035bf261719/300x450,Миссия: Красный,2024,2 ч 3 мин,"фэнтези, боевик, комедия, детектив, приключения",6.6,Санта-Клаус под кодовым именем Красный похищен. Начальник службы безопасности Северного полюса должен объединиться с самым известным в мире охотником за головами. Вместе они начинают кругосветную миссию по спасению Рождества.,Джейк Кэздан,Дуэйн Джонсон,Крис Эванс
7,https://avatars.mds.yandex.net/get-kinopoisk-image/10893610/35ea6b45-665d-4d3b-940a-efde13a62c42/300x450,Моана 2,2024,1 ч 40 мин,"мультфильм, мюзикл, фэнтези, комедия, приключения, семейный",7.0,"Получив вызов от предков-искателей, Моана и Мауи отправляются в далёкие и опасные воды Океании.",Дэвид Деррик мл.,Аулии Кравальо,Дуэйн Джонсон
8,https://avatars.mds.yandex.net/get-kinopoisk-image/1898899/ba4c81cc-30b8-448f-8b58-a315f93e567d/300x450,Гладиатор 2,2024,2 ч 28 мин,"боевик, драма, приключения",6.5,"Луций, бывший наследник Римской империи, становится гладиатором.",Ридли Скотт,Пол Мескал,Педро Паскаль
9,https://avatars.mds.yandex.net/get-kinopoisk-image/10592371/ecd0ee64-6c07-4132-b719-7e2fc3d6d1f3/300x450,Мария,2024,2 ч 4 мин,"биография, драма, музыка",7.1,"Сентябрь 1977 года. Мария Каллас, всемирно известная оперная дива на ранней пенсии, живет в роскошной парижской квартире с двумя пуделями, кухаркой и дворецким. Работа первой, помимо готовки, заключается в том, чтобы говорить Марии комплименты. Второй с утра до ночи передвигает для нее по дому огромный рояль, считает её таблетки, забирает её из ресторанов и пытается убедить побеседовать наконец не с галлюцинациями, а со специалистом.",Пабло Ларраин,Анджелина Джоли,Пьерфранческо Фавино
10,https://avatars.mds.yandex.net/get-kinopoisk-image/10671298/f705ab5a-8687-4404-bb1c-13ac696ab2e3/300x450,Граф Монте-Кристо,2024,2 ч 58 мин,"триллер, драма, мелодрама",8.0,"1815 год. В день свадьбы с возлюбленной молодого капитана дальнего плавания Эдмона Дантеса по лживому доносу и несправедливому обвинению в государственной измене без суда и следствия отправляют в одну из самых страшных тюрем — в замок Иф. После 4 лет заключения в тюрьме он встречает ещё одного узника — аббата Фариа, который пытается прорыть тоннель для побега. Став помощником Фариа, Дантес узнает от него о месте, где спрятаны несметные богатства ордена тамплиеров. Спустя 10 лет, совершив побег и добравшись до сокровищ, Дантес становится загадочным графом Монте-Кристо и начинает воплощать хитроумный план мести, чтобы покарать тех, кто сломал ему жизнь.",Александр де Ла Пательер,Пьер Нинэ,Анаис Демустье
11,https://avatars.mds.yandex.net/get-kinopoisk-image/1898899/27ed5c19-a045-49dd-8624-5f629c5d96e0/300x450,Гарри Поттер и философский камень,2001,2 ч 32 мин,"фэнтези, приключения, семейный",8.3,"Жизнь десятилетнего Гарри Поттера нельзя назвать сладкой: родители умерли, едва ему исполнился год, а от дяди и тёти, взявших сироту на воспитание, достаются лишь тычки да подзатыльники. Но в одиннадцатый день рождения Гарри всё меняется. Странный гость, неожиданно появившийся на пороге, приносит письмо, из которого мальчик узнаёт, что на самом деле он - волшебник и зачислен в школу магии под названием Хогвартс. А уже через пару недель Гарри будет мчаться в поезде Хогвартс-экспресс навстречу новой жизни, где его ждут невероятные приключения, верные друзья и самое главное — ключ к разгадке тайны смерти его родителей.",Крис Коламбус,Дэниэл Рэдклифф,Руперт Гринт
12,https://avatars.mds.yandex.net/get-kinopoisk-image/10893610/a40e770e-4560-4335-931e-463df63d12ff/300x450,Приключения Паддингтона 3,2024,1 ч 46 мин,"комедия, детектив, приключения, семейный",7.3,"Паддингтон, ставший полноправным членом семьи Браунов и гражданином Великобритании, отправляется в гости к тетушке Люси на свою далекую родину — в Перу.",Дагал Уилсон,Бен Уишоу,Хью Бонневилль
